codigo,nombre,uuid,created_at,updated_at
400000,SECRETARIA,df9336a8-b260-4c22-aa98-d346e78112e1,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
400001,SECRETARIA DE ACTAS,cbdd0688-cf9c-4aa1-a283-d99ec7739250,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
400002,FONDO EDITORIAL,18b74e07-63f8-495d-8989-0d59bb397aa8,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
400003,UNIDAD DE INFORMATICA Y ESTAD.,0c4064da-35ed-47af-af2b-c3c8c1d8885f,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
401000,COORD.ADMISION Y CONTROL EST.,c672d139-1435-4d45-8cad-3790433db4a4,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
402000,COORD.INFORMAC.,483c1d3b-e9a8-4ceb-9f71-ea1103485218,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
402001,UNIDAD DE ARCHIVO GENERAL,3152c7d3-e32d-486a-b39b-512ccff12729,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
402002,UNIDAD PROCESOS TECNICOSS,193f44ca-6826-4c07-a3f5-191dd0df6da6,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
402003,UNIDAD PUBLICAC.PERIODICAS.,c8f966de-0d81-48ca-a6ba-74c63eb8fbb7,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
402004,UNIDAD DE SERVICIOS BIBLITEC.,d10f3ca9-a0dd-4a51-a805-52654982e318,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
900000,PARTIDAS NO ASIGNADAS,ffdf1070-7a79-4d9a-85d3-6c9a246108f3,2024-01-19 11:59:05.865058+00,2024-01-19 11:59:05.865058+00
